iter	Passed	Remaining
0	228	114183
1	268	66818
2	310	51370
3	347	43081
4	385	38155
5	425	35059
6	465	32788
7	506	31153
8	545	29746
9	586	28728
10	625	27817
11	664	27010
12	702	26307
13	741	25729
14	778	25166
15	816	24710
16	855	24297
17	898	24058
18	938	23763
19	980	23534
20	1019	23250
21	1065	23158
22	1131	23469
23	1179	23386
24	1223	23242
25	1262	23013
26	1302	22816
27	1342	22637
28	1382	22449
29	1422	22283
30	1463	22147
31	1505	22015
32	1548	21914
33	1605	22010
34	1652	21953
35	1697	21882
36	1742	21805
37	1784	21694
38	1828	21610
39	1887	21706
40	1927	21582
41	1971	21496
42	2012	21386
43	2051	21263
44	2099	21225
45	2139	21114
46	2178	20997
47	2218	20895
48	2260	20802
49	2304	20737
50	2344	20642
51	2385	20556
52	2427	20476
53	2466	20370
54	2512	20327
55	2558	20283
56	2618	20353
57	2701	20590
58	2793	20883
59	2846	20873
60	2898	20860
61	2950	20847
62	2997	20794
63	3044	20741
64	3089	20677
65	3134	20612
66	3177	20535
67	3215	20425
68	3254	20329
69	3297	20259
70	3347	20225
71	3402	20224
72	3443	20143
73	3486	20072
74	3530	20005
75	3571	19926
76	3615	19859
77	3658	19791
78	3698	19707
79	3742	19646
80	3789	19601
81	3835	19550
82	3882	19504
83	3930	19465
84	3977	19420
85	4020	19356
86	4063	19290
87	4119	19288
88	4163	19228
89	4206	19164
90	4246	19087
91	4305	19092
92	4346	19022
93	4388	18954
94	4429	18881
95	4468	18804
96	4504	18712
97	4544	18641
98	4584	18568
99	4624	18496
100	4665	18430
101	4702	18350
102	4742	18279
103	4782	18211
104	4820	18134
105	4858	18057
106	4895	17979
107	4932	17903
108	4970	17830
109	5010	17764
110	5050	17698
111	5091	17637
112	5131	17573
113	5170	17507
114	5214	17457
115	5253	17391
116	5292	17324
117	5332	17264
118	5372	17199
119	5411	17135
120	5451	17076
121	5489	17007
122	5544	16993
123	5586	16941
124	5626	16880
125	5666	16820
126	5707	16763
127	5748	16707
128	5806	16698
129	5858	16674
130	5896	16608
131	5934	16545
132	5973	16484
133	6013	16425
134	6053	16365
135	6091	16302
136	6130	16242
137	6170	16186
138	6210	16130
139	6249	16070
140	6289	16013
141	6354	16019
142	6404	15987
143	6461	15973
144	6513	15946
145	6565	15919
146	6612	15879
147	6651	15820
148	6692	15765
149	6730	15705
150	6770	15648
151	6810	15592
152	6851	15538
153	6890	15482
154	6930	15426
155	6974	15379
156	7017	15330
157	7054	15269
158	7094	15214
159	7134	15160
160	7173	15104
161	7216	15057
162	7256	15003
163	7295	14947
164	7335	14893
165	7374	14838
166	7416	14788
167	7452	14728
168	7491	14672
169	7533	14623
170	7570	14565
171	7609	14511
172	7648	14456
173	7686	14400
174	7730	14356
175	7783	14328
176	7825	14280
177	7863	14225
178	7901	14170
179	7942	14120
180	7983	14069
181	8021	14015
182	8061	13965
183	8100	13912
184	8140	13860
185	8182	13812
186	8223	13765
187	8262	13712
188	8301	13660
189	8342	13610
190	8381	13560
191	8419	13506
192	8462	13460
193	8502	13411
194	8543	13362
195	8575	13301
196	8618	13255
197	8659	13208
198	8699	13157
199	8755	13132
200	8792	13079
201	8832	13030
202	8871	12979
203	8910	12929
204	8948	12877
205	8988	12827
206	9025	12775
207	9063	12723
208	9105	12677
209	9144	12628
210	9186	12582
211	9227	12535
212	9266	12485
213	9306	12437
214	9345	12387
215	9402	12361
216	9439	12310
217	9479	12262
218	9520	12215
219	9560	12168
220	9600	12119
221	9638	12070
222	9676	12019
223	9721	11978
224	9761	11931
225	9801	11883
226	9842	11837
227	9883	11791
228	9924	11744
229	9986	11722
230	10026	11675
231	10065	11627
232	10105	11579
233	10144	11532
234	10185	11485
235	10226	11439
236	10266	11392
237	10301	11340
238	10340	11292
239	10382	11247
240	10422	11200
241	10462	11154
242	10503	11109
243	10545	11064
244	10584	11016
245	10623	10969
246	10664	10923
247	10705	10877
248	10745	10832
249	10787	10787
250	10828	10741
251	10909	10736
252	10951	10691
253	10991	10645
254	11029	10596
255	11068	10549
256	11109	10504
257	11146	10455
258	11202	10423
259	11242	10377
260	11281	10330
261	11323	10286
262	11367	10243
263	11407	10197
264	11447	10151
265	11488	10106
266	11560	10088
267	11602	10043
268	11643	9998
269	11680	9949
270	11719	9903
271	11758	9856
272	11800	9811
273	11843	9768
274	11885	9724
275	11926	9679
276	11968	9635
277	12008	9589
278	12048	9543
279	12088	9498
280	12134	9457
281	12184	9419
282	12223	9372
283	12265	9328
284	12308	9285
285	12353	9243
286	12394	9198
287	12434	9153
288	12474	9107
289	12512	9060
290	12551	9014
291	12590	8968
292	12628	8921
293	12666	8875
294	12703	8827
295	12740	8780
296	12781	8736
297	12821	8690
298	12859	8644
299	12898	8598
300	12937	8553
301	12978	8508
302	13015	8461
303	13053	8415
304	13090	8369
305	13131	8324
306	13170	8279
307	13214	8237
308	13251	8191
309	13291	8146
310	13331	8101
311	13368	8055
312	13406	8009
313	13446	7965
314	13484	7919
315	13525	7875
316	13564	7830
317	13600	7784
318	13642	7740
319	13682	7696
320	13723	7652
321	13763	7608
322	13800	7562
323	13839	7517
324	13879	7473
325	13919	7429
326	13958	7384
327	13996	7339
328	14035	7294
329	14075	7250
330	14112	7205
331	14151	7160
332	14191	7116
333	14229	7072
334	14290	7038
335	14354	7006
336	14394	6962
337	14435	6918
338	14475	6874
339	14519	6832
340	14561	6789
341	14601	6745
342	14641	6702
343	14681	6657
344	14718	6612
345	14758	6568
346	14797	6524
347	14836	6480
348	14876	6436
349	14916	6392
350	14955	6348
351	14993	6304
352	15035	6261
353	15074	6217
354	15113	6173
355	15154	6129
356	15193	6085
357	15235	6043
358	15275	5999
359	15316	5956
360	15353	5911
361	15392	5867
362	15431	5823
363	15469	5779
364	15512	5737
365	15555	5695
366	15596	5652
367	15635	5608
368	15675	5564
369	15711	5520
370	15750	5476
371	15789	5432
372	15827	5389
373	15868	5345
374	15909	5303
375	15948	5259
376	15989	5216
377	16029	5173
378	16070	5130
379	16110	5087
380	16149	5044
381	16187	5000
382	16225	4956
383	16265	4913
384	16308	4871
385	16347	4827
386	16385	4784
387	16426	4741
388	16463	4697
389	16517	4658
390	16564	4617
391	16602	4574
392	16641	4530
393	16682	4488
394	16725	4445
395	16763	4402
396	16800	4358
397	16840	4315
398	16877	4272
399	16918	4229
400	16958	4186
401	16997	4143
402	17040	4101
403	17077	4058
404	17116	4015
405	17155	3971
406	17197	3929
407	17239	3887
408	17275	3843
409	17315	3800
410	17354	3758
411	17393	3715
412	17432	3672
413	17467	3628
414	17508	3586
415	17549	3543
416	17586	3500
417	17628	3458
418	17666	3415
419	17705	3372
420	17745	3329
421	17783	3286
422	17820	3243
423	17857	3200
424	17898	3158
425	17938	3116
426	17977	3073
427	18015	3030
428	18055	2988
429	18096	2945
430	18136	2903
431	18173	2860
432	18211	2817
433	18249	2775
434	18288	2732
435	18330	2690
436	18370	2648
437	18412	2606
438	18451	2563
439	18491	2521
440	18533	2479
441	18571	2436
442	18613	2394
443	18656	2353
444	18708	2312
445	18751	2270
446	18792	2228
447	18830	2185
448	18871	2143
449	18914	2101
450	18956	2059
451	18994	2017
452	19034	1974
453	19073	1932
454	19110	1890
455	19147	1847
456	19187	1805
457	19227	1763
458	19268	1721
459	19308	1679
460	19348	1636
461	19385	1594
462	19422	1552
463	19461	1509
464	19501	1467
465	19539	1425
466	19579	1383
467	19616	1341
468	19653	1299
469	19693	1257
470	19749	1215
471	19786	1173
472	19825	1131
473	19867	1089
474	19909	1047
475	19949	1005
476	19990	963
477	20030	921
478	20068	879
479	20109	837
480	20150	795
481	20191	754
482	20228	711
483	20267	669
484	20306	628
485	20344	586
486	20382	544
487	20421	502
488	20457	460
489	20496	418
490	20535	376
491	20575	334
492	20611	292
493	20649	250
494	20688	208
495	20728	167
496	20767	125
497	20824	83
498	20871	41
499	20919	0
